family,tool,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00093,mafft,0.575243,0.151699,0.273058,0.30895,0.817308,0.85178,0.770833,0.46246,103
RF00095,mafft,0.617143,0.273016,0.109841,0.021312,0.756142,0.799558,0.630968,0.521058,63
RF00096,mafft,0.64523,0.183614,0.171156,0.184409,0.592507,0.876413,0.6393,0.536147,162
RF00099,mafft,0.76238,0.117026,0.120594,0.48581,0.540414,0.942182,0.699626,0.684857,143
RF00100,mafft,0.730064,0.077239,0.192698,0.544509,0.850101,0.951494,0.832743,0.644251,399
RF00103,mafft,0.623226,0.203477,0.173296,0.191968,0.754113,0.873772,0.680491,0.544092,89
RF00104,mafft,0.699719,0.226793,0.073488,0.236093,0.656718,0.925861,0.661325,0.614185,79
RF00105,mafft,0.899926,0.061012,0.039062,0.691515,0.829087,0.989703,0.870858,0.83871,84
RF00106,mafft,0.761111,0.187963,0.050926,0.442833,1.0,0.905957,0.68972,0.670782,108
RF00107,mafft,0.915612,0.065401,0.018987,0.791932,1.0,0.965499,0.899573,0.867511,79
RF00108,mafft,0.719211,0.103614,0.177176,0.541454,0.688427,0.917204,0.740699,0.656515,113
RF00109,mafft,0.709211,0.152632,0.138158,0.343122,0.833815,0.918536,0.757495,0.589254,80
RF00110,mafft,0.845679,0.12963,0.024691,0.57403,0.804554,0.923619,0.795312,0.765432,81
RF00112,mafft,0.808662,0.140918,0.05042,0.541554,0.782907,0.970277,0.776471,0.735133,91
RF00114,mafft,0.519636,0.219085,0.261279,0.09241,0.785795,0.853808,0.683815,0.430822,158
RF00115,mafft,0.911458,0.085938,0.002604,0.742017,0.0,0.969576,0.905263,0.838542,96
RF00116,mafft,0.987179,0.00641,0.00641,0.979198,1.0,1.0,0.980519,0.977106,78
RF00117,mafft,0.991491,0.008509,0.0,0.968011,0.0,1.0,0.984917,0.984484,222
RF00118,mafft,0.781513,0.12605,0.092437,0.584617,0.901878,0.926793,0.810235,0.689776,68
RF00119,mafft,0.982278,0.017722,0.0,0.942018,0.0,1.0,0.964103,0.967089,79
RF00122,mafft,0.992982,0.005263,0.001754,0.981002,0.0,1.0,0.985841,0.985965,114
RF00125,mafft,0.909859,0.076995,0.013146,0.795342,1.0,0.992502,0.903774,0.857746,213
RF00126,mafft,0.79707,0.163273,0.039657,0.489544,0.939418,0.943901,0.742294,0.697392,311
RF00129,mafft,0.794663,0.107138,0.098199,0.575528,0.870208,0.941898,0.811435,0.729445,83
RF00130,mafft,0.525069,0.125624,0.349306,0.559273,0.900012,0.86804,0.804778,0.464851,115
RF00131,mafft,0.625479,0.222454,0.152067,0.16631,0.676106,0.831118,0.689728,0.550421,85
RF00133,mafft,0.564293,0.206051,0.229656,0.125075,0.560373,0.771463,0.635646,0.464323,108
RF00134,mafft,0.613845,0.173895,0.21226,0.343387,0.788213,0.831278,0.681818,0.508678,109
RF00135,mafft,0.901053,0.090526,0.008421,0.709613,0.0,0.995047,0.882979,0.825263,95
RF00136,mafft,0.777376,0.092459,0.130165,0.547939,0.719389,0.963631,0.818182,0.696773,88
RF00137,mafft,0.866071,0.094643,0.039286,0.718199,0.849241,0.970921,0.810127,0.796429,80
RF00140,mafft,0.631811,0.204527,0.163662,0.133345,0.724391,0.873687,0.70422,0.52582,128
RF00142,mafft,0.832468,0.111688,0.055844,0.642584,1.0,0.974492,0.836173,0.729004,110
RF00143,mafft,0.606771,0.166956,0.226273,0.380709,0.817758,0.90735,0.769006,0.539335,96
RF00144,mafft,0.79939,0.099434,0.101176,0.575165,0.832568,0.935813,0.838231,0.723734,83
RF00145,mafft,0.663636,0.210227,0.126136,0.283131,0.764716,0.871896,0.726122,0.551591,80
RF00149,mafft,0.725857,0.193925,0.080218,0.345905,0.915432,0.895786,0.71934,0.628009,107
RF00150,mafft,0.742455,0.183099,0.074447,0.4428,0.774161,0.926962,0.722449,0.624413,71
RF00151,mafft,0.703409,0.118182,0.178409,0.504018,0.756031,0.891268,0.77944,0.639867,80
RF00152,mafft,0.740015,0.139785,0.1202,0.410904,0.729452,0.924619,0.744177,0.647807,93
RF00153,mafft,0.90312,0.078818,0.018062,0.649371,0.641026,0.994623,0.850498,0.83327,87
RF00154,mafft,0.796739,0.1125,0.090761,0.496956,0.717257,0.937986,0.775454,0.712747,80
RF00155,mafft,0.828252,0.106294,0.065455,0.552639,0.764055,0.964233,0.795493,0.758881,143
RF00157,mafft,0.825,0.101744,0.073256,0.561752,0.628479,0.948563,0.777647,0.755875,86
RF00159,mafft,0.876471,0.088235,0.035294,0.711268,1.0,0.942628,0.831349,0.804706,85
RF00160,mafft,0.782828,0.119192,0.09798,0.545583,0.91338,0.958678,0.804082,0.674523,99
RF00161,mafft,0.851923,0.111538,0.036538,0.618437,0.72199,0.942767,0.800781,0.778022,65
RF00162,mafft,0.256844,0.106554,0.636602,-0.108609,0.735674,0.718949,0.779161,0.207764,302
RF00163,mafft,0.381579,0.070086,0.548335,0.705178,0.962353,0.849953,0.868506,0.223853,133
RF00165,mafft,0.596154,0.309106,0.09474,-0.060847,0.475751,0.82578,0.596728,0.481168,68
RF00166,mafft,0.694805,0.143579,0.161616,0.453163,0.826226,0.879188,0.698983,0.603154,154
RF00167,mafft,0.589679,0.326931,0.08339,-0.109392,0.493767,0.795237,0.580948,0.497472,110
RF00168,mafft,0.413499,0.273647,0.312854,-0.015528,0.837444,0.723373,0.648536,0.312382,267
RF00169,mafft,0.406955,0.252756,0.340289,-0.205951,0.775241,0.754442,0.689833,0.299791,130
RF00171,mafft,0.704094,0.143275,0.152632,0.472928,0.870121,0.940084,0.777778,0.583772,190
RF00172,mafft,0.753788,0.145202,0.10101,0.49378,0.869655,0.927267,0.731801,0.638258,88
RF00174,mafft,0.157921,0.094755,0.747324,-0.190779,0.763293,0.655346,0.833104,0.10857,798
RF00176,mafft,0.949275,0.042271,0.008454,0.834461,0.530866,0.994836,0.936508,0.918159,92
RF00178,mafft,0.780702,0.108814,0.110485,0.539633,0.740237,0.927515,0.814392,0.70422,76
RF00179,mafft,0.964789,0.024648,0.010563,0.906228,0.884885,1.0,0.976786,0.934608,71
RF00183,mafft,0.840278,0.106061,0.053662,0.559299,0.754147,0.97644,0.780612,0.747811,99
RF00187,mafft,0.89697,0.052121,0.050909,0.801313,0.61041,0.974049,0.839066,0.847758,75
RF00188,mafft,0.75295,0.108838,0.138211,0.581061,0.831622,0.924165,0.77386,0.670968,93
RF00189,mafft,0.939076,0.058824,0.002101,0.812765,0.0,1.0,0.936034,0.901961,68
RF00190,mafft,0.751264,0.151264,0.097471,0.320044,0.668483,0.947245,0.711409,0.651872,150
RF00193,mafft,0.981818,0.011313,0.006869,0.964018,0.0,0.996658,0.963909,0.972525,275
RF00194,mafft,0.957108,0.025735,0.017157,0.884372,1.0,1.0,0.950249,0.922048,68
RF00196,mafft,0.971429,0.028571,0.0,0.926619,0.0,0.985507,0.941176,0.958095,35
RF00198,mafft,0.921833,0.058288,0.019879,0.786724,0.551655,0.972321,0.885034,0.89398,106
RF00199,mafft,0.729894,0.143122,0.126984,0.45453,0.843869,0.908951,0.745333,0.643842,126
RF00201,mafft,0.952795,0.04472,0.002484,0.858509,0.0,1.0,0.922306,0.920083,115
RF00203,mafft,0.686343,0.144676,0.168981,0.447621,0.896218,0.914917,0.752047,0.560475,96
RF00205,mafft,0.820779,0.04026,0.138961,0.833612,0.975552,0.976537,0.910878,0.7329,110
RF00206,mafft,0.661094,0.203141,0.135765,0.299794,0.72953,0.85774,0.708141,0.571125,94
RF00208,mafft,0.983908,0.016092,0.0,0.952785,0.0,1.0,0.967442,0.972414,87
RF00209,mafft,0.893846,0.067552,0.038601,0.701799,0.742309,0.983492,0.878456,0.842914,286
RF00210,mafft,0.780336,0.097413,0.122252,0.574101,0.837551,0.957996,0.809089,0.721685,526
RF00212,mafft,0.778865,0.154599,0.066536,0.529147,0.847146,0.927974,0.779762,0.669928,73
RF00213,mafft,0.516069,0.23987,0.244061,0.021251,0.825312,0.791121,0.6875,0.383998,113
RF00214,mafft,0.886383,0.073191,0.040426,0.737068,1.0,0.973698,0.833978,0.840567,94
RF00215,mafft,0.867347,0.125,0.007653,0.484444,1.0,0.993119,0.821946,0.784543,70
RF00217,mafft,0.888278,0.059524,0.052198,0.756236,0.788383,0.973091,0.834106,0.835928,84
RF00222,mafft,0.826425,0.127807,0.045769,0.522553,0.955782,0.972823,0.76381,0.744091,386
RF00223,mafft,0.823506,0.087044,0.08945,0.657984,0.95979,0.970177,0.845411,0.730245,277
RF00224,mafft,0.921296,0.057209,0.021495,0.796947,0.987326,0.994474,0.890325,0.859656,504
RF00225,mafft,0.903525,0.079777,0.016698,0.772929,1.0,0.992448,0.854342,0.857452,154
RF00226,mafft,0.791913,0.16568,0.042406,0.617774,0.951932,0.881602,0.827893,0.71499,338
RF00231,mafft,0.81186,0.123009,0.065131,0.484025,0.639436,0.957399,0.732449,0.727742,293
RF00232,mafft,0.922353,0.045882,0.031765,0.887235,1.0,0.994531,0.913609,0.870588,170
RF00233,mafft,0.576441,0.156015,0.267544,0.438313,0.878911,0.897948,0.706068,0.482503,114
RF00234,mafft,0.535396,0.232302,0.232302,0.113331,0.8594,0.796582,0.666431,0.404539,237
RF00236,mafft,0.738956,0.19759,0.063454,0.329218,0.789402,0.924706,0.727642,0.636489,83
RF00237,mafft,0.594048,0.194097,0.211854,0.025441,0.725319,0.871913,0.690644,0.50438,95
RF00241,mafft,0.57282,0.205705,0.221475,0.21213,0.652062,0.844782,0.67293,0.501792,87
RF00243,mafft,0.893393,0.085586,0.021021,0.732717,0.816228,0.950441,0.84697,0.831231,111
RF00244,mafft,0.700348,0.179588,0.120064,0.2962,0.808385,0.885623,0.736556,0.605548,84
RF00245,mafft,0.685318,0.173607,0.141076,0.345818,0.793415,0.888323,0.733765,0.598259,87
RF00247,mafft,0.554745,0.137643,0.307612,0.566243,0.960749,0.895817,0.779412,0.431352,137
RF00250,mafft,0.89158,0.102086,0.006334,0.564247,0.0,0.992287,0.829545,0.824854,61
RF00251,mafft,0.439614,0.164251,0.396135,0.213244,0.866272,0.902518,0.803304,0.376743,126
RF00252,mafft,0.858889,0.051667,0.089444,0.770418,0.949311,0.989785,0.913456,0.802386,200
RF00253,mafft,0.843164,0.112994,0.043842,0.651107,0.909964,0.95304,0.826386,0.781196,75
RF00254,mafft,0.611565,0.181633,0.206803,0.300818,1.0,0.885449,0.788462,0.521507,105
RF00257,mafft,0.710819,0.185794,0.103387,0.300027,0.79252,0.865239,0.770077,0.625345,86
RF00258,mafft,0.906085,0.082011,0.011905,0.716879,0.0,0.994373,0.843373,0.85119,84
RF00259,mafft,0.945562,0.050888,0.00355,0.830208,1.0,1.0,0.916667,0.898225,169
RF00262,mafft,0.921429,0.05,0.028571,0.837744,1.0,0.987204,0.92029,0.857143,70
RF00264,mafft,0.751852,0.233333,0.014815,0.387827,1.0,0.823973,0.683769,0.660317,135
RF00265,mafft,0.826724,0.086207,0.087069,0.637126,1.0,0.959908,0.767795,0.753908,145
RF00267,mafft,0.714286,0.173565,0.11215,0.39146,0.730094,0.904439,0.71496,0.617747,107
RF00270,mafft,0.649621,0.167298,0.183081,0.203264,0.708446,0.89267,0.709451,0.545202,88
RF00272,mafft,0.80318,0.127193,0.069627,0.584048,0.868778,0.934329,0.77649,0.725478,152
RF00273,mafft,0.725694,0.144345,0.12996,0.462482,0.715823,0.862186,0.721386,0.655021,84
RF00274,mafft,0.748144,0.11824,0.133616,0.472292,0.778564,0.935039,0.791197,0.657669,82
RF00275,mafft,0.871032,0.109127,0.019841,0.59945,0.822749,0.985921,0.78672,0.776455,72
RF00277,mafft,0.762206,0.146474,0.09132,0.379008,0.578254,0.903886,0.761447,0.685554,79
RF00278,mafft,0.821356,0.118927,0.059717,0.520914,0.57309,0.941308,0.781026,0.753117,76
RF00279,mafft,0.780303,0.101732,0.117965,0.598342,0.946007,0.956926,0.822563,0.661472,84
RF00280,mafft,0.875893,0.079464,0.044643,0.642653,0.808011,0.98032,0.848101,0.799038,80
RF00281,mafft,0.820732,0.104878,0.07439,0.60031,0.833467,0.95162,0.751235,0.74846,82
RF00282,mafft,0.929688,0.050781,0.019531,0.812613,0.0,0.992502,0.880952,0.883371,64
RF00283,mafft,0.872353,0.084118,0.043529,0.651737,0.922626,0.989245,0.809524,0.798762,85
RF00284,mafft,0.811245,0.143431,0.045324,0.449594,0.554105,0.952361,0.775261,0.732989,83
RF00286,mafft,0.82988,0.129345,0.040775,0.506045,0.872176,0.958721,0.792256,0.749968,136
RF00287,mafft,0.847436,0.091026,0.061538,0.654082,0.133276,0.948066,0.757812,0.780186,65
RF00290,mafft,0.995714,0.004286,0.0,0.98453,0.0,1.0,0.994245,0.991429,140
RF00294,mafft,0.76817,0.14411,0.087719,0.606306,0.859461,0.856849,0.741162,0.676692,133
RF00295,mafft,0.795,0.135,0.07,0.590171,0.777778,0.914256,0.787342,0.717778,80
RF00300,mafft,0.702381,0.133053,0.164566,0.57817,0.891062,0.833499,0.77613,0.583906,119
RF00301,mafft,0.893617,0.097872,0.008511,0.703525,1.0,0.99494,0.830108,0.817021,94
RF00305,mafft,0.988321,0.011679,0.0,0.968199,0.0,1.0,0.976471,0.981022,137
RF00306,mafft,0.998684,0.001316,0.0,0.99525,0.0,1.0,0.997351,0.997368,152
RF00307,mafft,0.807851,0.090909,0.10124,0.776698,0.987192,0.842709,0.858333,0.692837,121
RF00309,mafft,0.526495,0.205503,0.268003,0.105952,0.830144,0.81284,0.706265,0.405972,128
RF00314,mafft,0.927536,0.039855,0.032609,0.916848,1.0,0.93836,0.924908,0.898551,92
RF00315,mafft,0.859259,0.125926,0.014815,0.609527,1.0,0.983476,0.795,0.759259,81
RF00316,mafft,0.875845,0.097128,0.027027,0.708121,0.777321,0.937044,0.83476,0.831306,74
RF00318,mafft,0.917695,0.010288,0.072016,0.971604,1.0,0.994255,0.975,0.840329,81
RF00319,mafft,0.866979,0.102941,0.03008,0.633481,0.780011,0.965779,0.831317,0.786096,187
RF00320,mafft,0.948837,0.037209,0.013953,0.876686,1.0,1.0,0.957647,0.904651,86
RF00322,mafft,0.883077,0.081538,0.035385,0.746773,0.978465,0.993452,0.857364,0.796923,130
RF00323,mafft,0.987692,0.006154,0.006154,0.984615,1.0,0.992733,0.984375,0.981538,65
RF00324,mafft,0.643175,0.128889,0.227937,0.28544,0.786078,0.934013,0.762821,0.533924,105
RF00325,mafft,0.69689,0.16129,0.141819,0.338956,0.720892,0.860136,0.699471,0.601246,93
RF00326,mafft,0.821429,0.10119,0.077381,0.65699,0.786517,0.938977,0.804217,0.72449,84
RF00327,mafft,0.966667,0.018519,0.014815,0.955049,1.0,1.0,0.973832,0.946296,108
RF00328,mafft,0.662466,0.228623,0.108911,0.234517,0.881197,0.913673,0.676364,0.541134,101
RF00330,mafft,0.828297,0.125,0.046703,0.606779,0.829417,0.956976,0.807212,0.744963,104
RF00332,mafft,0.73975,0.153298,0.106952,0.479841,0.80537,0.923955,0.720072,0.642246,102
RF00334,mafft,0.775253,0.199495,0.025253,0.510351,1.0,0.818824,0.711196,0.684848,132
RF00335,mafft,0.620709,0.148025,0.231266,0.341302,0.733386,0.87469,0.743118,0.542924,129
RF00338,mafft,0.932632,0.025263,0.042105,0.92778,0.958333,0.985024,0.908511,0.888421,95
RF00340,mafft,0.876263,0.093434,0.030303,0.748654,1.0,0.954151,0.830789,0.803535,132
RF00341,mafft,0.9,0.059375,0.040625,0.797244,1.0,0.971188,0.850794,0.834375,64
RF00342,mafft,0.953425,0.038356,0.008219,0.899621,0.0,0.987669,0.922222,0.928767,73
RF00343,mafft,0.597919,0.16388,0.238201,0.356703,0.869867,0.877291,0.746627,0.466538,117
RF00344,mafft,0.828947,0.126316,0.044737,0.67783,1.0,0.922181,0.829333,0.748684,76
RF00345,mafft,0.722502,0.151689,0.125809,0.42894,0.783775,0.897317,0.708999,0.626767,107
RF00348,mafft,0.874862,0.125138,0.0,0.682523,0.0,0.989402,0.774554,0.824659,129
RF00350,mafft,0.647737,0.141564,0.2107,0.453576,0.85426,0.900849,0.761194,0.524897,135
RF00351,mafft,0.813725,0.098039,0.088235,0.697663,1.0,0.932542,0.821782,0.697712,102
RF00352,mafft,0.793103,0.157088,0.049808,0.551229,0.833333,0.934086,0.782946,0.691954,87
RF00353,mafft,0.747619,0.147619,0.104762,0.587036,0.886964,0.846348,0.765625,0.666327,105
RF00355,mafft,0.847578,0.12963,0.022792,0.61406,1.0,0.975568,0.753247,0.775997,78
RF00356,mafft,0.766667,0.101515,0.131818,0.687245,0.975966,0.906642,0.847095,0.663636,110
RF00357,mafft,0.66921,0.163259,0.167531,0.3343,0.789159,0.909377,0.716133,0.569903,113
RF00359,mafft,0.868132,0.079365,0.052503,0.722227,0.643436,0.951066,0.837037,0.806777,91
RF00361,mafft,0.940476,0.047619,0.011905,0.898552,1.0,0.954432,0.931271,0.921088,98
RF00364,mafft,0.933468,0.052419,0.014113,0.84098,0.743975,0.970742,0.932377,0.907258,62
RF00367,mafft,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,65
RF00369,mafft,0.813953,0.116279,0.069767,0.626394,0.928634,0.922239,0.79922,0.721318,172
RF00370,mafft,0.885393,0.089888,0.024719,0.72067,1.0,0.983182,0.856818,0.81236,89
RF00373,mafft,0.260901,0.128108,0.61099,0.266751,0.905904,0.781357,0.81409,0.187173,802
RF00374,mafft,0.875728,0.074951,0.04932,0.72544,0.964355,0.99088,0.858824,0.811586,103
RF00377,mafft,0.765128,0.153162,0.081709,0.43193,0.849779,0.930081,0.780345,0.674274,117
RF00378,mafft,0.738525,0.136885,0.12459,0.466138,0.599482,0.905135,0.722314,0.661937,122
RF00379,mafft,0.328789,0.178945,0.492266,-0.052662,0.841096,0.82718,0.787635,0.25986,283
RF00380,mafft,0.418765,0.198567,0.382668,0.138284,0.736921,0.787043,0.637356,0.3482,273
RF00381,mafft,0.867014,0.112125,0.02086,0.62437,0.926956,0.984918,0.84748,0.80226,59
RF00384,mafft,0.958065,0.041935,0.0,0.863802,0.0,0.992271,0.927869,0.933692,62
RF00385,mafft,0.95,0.042857,0.007143,0.852846,0.0,1.0,0.926829,0.917989,42
RF00386,mafft,0.517152,0.066043,0.416806,0.746668,0.93596,0.954391,0.891641,0.475644,153
RF00387,mafft,0.857418,0.096339,0.046243,0.791854,1.0,0.853322,0.822674,0.804239,173
RF00391,mafft,0.573471,0.173512,0.253017,0.259309,0.795854,0.873258,0.717258,0.480761,173
RF00392,mafft,0.81401,0.157005,0.028986,0.514259,1.0,0.944594,0.77129,0.703382,138
RF00393,mafft,0.933333,0.053901,0.012766,0.821448,0.0,0.990024,0.877143,0.884397,141
RF00394,mafft,0.807619,0.128571,0.06381,0.551778,0.756746,0.961321,0.766059,0.697143,150
RF00396,mafft,0.649317,0.176522,0.174161,0.212971,0.795724,0.920921,0.70575,0.5398,161
RF00398,mafft,0.832702,0.104167,0.063131,0.529408,0.807713,0.963076,0.773999,0.743837,144
RF00399,mafft,0.908148,0.053333,0.038519,0.815032,1.0,0.98942,0.9,0.837778,135
RF00400,mafft,0.780687,0.109656,0.109656,0.520495,0.78241,0.947231,0.770604,0.700556,141
RF00401,mafft,0.88367,0.079895,0.036435,0.690392,0.645502,0.980716,0.82751,0.827041,134
RF00402,mafft,0.801449,0.126329,0.072222,0.415001,0.844885,0.971311,0.760584,0.710045,138
RF00403,mafft,0.796595,0.122312,0.081093,0.412436,0.81375,0.959726,0.74171,0.703749,144
RF00404,mafft,0.837484,0.094645,0.06787,0.562464,0.58038,0.958538,0.772414,0.759473,146
RF00405,mafft,0.804903,0.10746,0.087637,0.527296,0.653424,0.947784,0.7741,0.727158,142
RF00407,mafft,0.769618,0.185614,0.044769,0.324266,0.839502,0.951428,0.74772,0.663055,142
RF00408,mafft,0.769729,0.124045,0.106225,0.447621,0.669006,0.945218,0.738816,0.678844,149
RF00409,mafft,0.782627,0.129243,0.08813,0.478024,0.866285,0.962182,0.773981,0.702158,153
RF00411,mafft,0.797009,0.131507,0.071484,0.422763,0.441795,0.948507,0.725156,0.710168,143
