Family,Source,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00021,Rfam,RF00021_bench.fasta,0.711638,0.118236,0.170126,0.547942,0.670007,0.879957,0.713326,0.640104,142
RF00022,Rfam,RF00022_bench.fasta,0.545644,0.167058,0.287298,0.280084,0.737150,0.842896,0.727261,0.425846,284
RF00023,Rfam,RF00023_bench.fasta,0.222444,0.153191,0.624364,-0.115652,0.745518,0.632833,0.786652,0.151227,953
RF00024,Rfam,RF00024_bench.fasta,0.425441,0.146822,0.427737,0.090890,0.687921,0.767235,0.710922,0.302921,777
RF00025,Rfam,RF00025_bench.fasta,0.467251,0.199234,0.333516,0.177960,0.763178,0.780300,0.651648,0.336928,261
RF00026,Rfam,RF00026_bench.fasta,0.399045,0.101005,0.499950,0.173500,0.743721,0.805439,0.763325,0.339080,214
RF00027,Rfam,RF00027_bench.fasta,0.645724,0.194737,0.159539,0.184949,0.670432,0.885044,0.664727,0.543411,95
RF00028,Rfam,RF00028_bench.fasta,0.259633,0.149832,0.590535,0.209999,0.931981,0.643071,0.816292,0.119631,891
RF00029,Rfam,RF00029_bench.fasta,0.294004,0.182387,0.523609,-0.136541,0.872257,0.718535,0.758343,0.215113,186
RF00030,Rfam,RF00030_bench.fasta,0.162457,0.102476,0.735067,0.049361,0.903136,0.562698,0.841359,0.101946,1213
RF00031,Rfam,RF00031_bench.fasta,0.365063,0.328045,0.306892,-0.248751,0.491903,0.465255,0.495189,0.276373,93
RF00032,Rfam,RF00032_bench.fasta,0.557143,0.348163,0.094694,-0.207592,0.829102,0.854222,0.613333,0.435419,49
RF00033,Rfam,RF00033_bench.fasta,0.885417,0.072917,0.041667,0.769862,1.000000,0.985385,0.873684,0.784722,96
RF00034,Rfam,RF00034_bench.fasta,0.689744,0.211538,0.098718,0.284990,0.684081,0.884951,0.650937,0.588034,120
RF00035,Rfam,RF00035_bench.fasta,0.905263,0.056140,0.038596,0.863726,1.000000,0.985655,0.890265,0.853509,114
RF00036,Rfam,RF00036_bench.fasta,0.974932,0.018281,0.006787,0.911887,0.668961,0.995372,0.961380,0.961488,340
RF00037,Rfam,RF00037_bench.fasta,0.777394,0.149698,0.072908,0.402129,0.253558,0.924822,0.666371,0.702258,38
RF00038,Rfam,RF00038_bench.fasta,0.894949,0.077441,0.027609,0.748405,0.914039,0.980202,0.850068,0.844714,135
RF00039,Rfam,RF00039_bench.fasta,0.800000,0.134545,0.065455,0.593020,1.000000,0.955736,0.781481,0.678182,55
RF00040,Rfam,RF00040_bench.fasta,0.611355,0.148352,0.240293,0.519061,0.863462,0.840355,0.712555,0.459634,455
RF00041,Rfam,RF00041_bench.fasta,0.806715,0.070504,0.122782,0.690709,0.644659,0.952373,0.828623,0.759741,139
RF00042,Rfam,RF00042_bench.fasta,0.820768,0.127169,0.052063,0.542103,0.465790,0.950123,0.775446,0.751731,95
RF00043,Rfam,RF00043_bench.fasta,0.803571,0.147727,0.048701,0.527468,0.579960,0.930893,0.754934,0.709647,77
RF00044,Rfam,RF00044_bench.fasta,0.976667,0.008333,0.015000,0.965285,1.000000,0.993010,0.986555,0.963333,120
RF00045,Rfam,RF00045_bench.fasta,0.616030,0.136983,0.246987,0.405694,0.715488,0.835830,0.647614,0.516096,269
RF00046,Rfam,RF00046_bench.fasta,0.930556,0.067708,0.001736,0.748118,0.000000,1.000000,0.929825,0.867361,96
RF00047,Rfam,RF00047_bench.fasta,0.606312,0.206188,0.187500,0.194515,0.558235,0.874757,0.615966,0.522833,86
RF00048,Rfam,RF00048_bench.fasta,0.858314,0.141686,0.000000,0.560441,0.000000,0.970797,0.802083,0.817160,61
RF00049,Rfam,RF00049_bench.fasta,0.616240,0.187060,0.196700,0.115861,0.620986,0.835765,0.695465,0.506528,93
RF00050,Rfam,RF00050_bench.fasta,0.450567,0.164786,0.384646,0.049673,0.892679,0.915816,0.790722,0.389445,221
RF00051,Rfam,RF00051_bench.fasta,0.640558,0.248927,0.110515,0.034913,0.695808,0.863908,0.658255,0.542082,84
RF00052,Rfam,RF00052_bench.fasta,0.793750,0.154167,0.052083,0.521980,1.000000,0.936167,0.793249,0.660833,80
RF00053,Rfam,RF00053_bench.fasta,0.626114,0.191325,0.182561,0.104336,0.662975,0.826168,0.665692,0.519269,102
RF00054,Rfam,RF00054_bench.fasta,0.739011,0.168498,0.092491,0.426169,0.908705,0.929891,0.751852,0.598735,91
RF00055,Rfam,RF00055_bench.fasta,0.628571,0.206349,0.165079,0.261438,0.780022,0.872527,0.658120,0.478042,105
RF00056,Rfam,RF00056_bench.fasta,0.800524,0.122902,0.076573,0.447600,0.662290,0.949176,0.730986,0.715331,143
RF00057,Rfam,RF00057_bench.fasta,0.774648,0.147346,0.078007,0.435904,0.608782,0.948799,0.793407,0.685504,71
RF00058,Rfam,RF00058_bench.fasta,0.906609,0.063218,0.030172,0.800808,0.833333,0.962134,0.872832,0.840996,174
RF00059,Rfam,RF00059_bench.fasta,0.317328,0.185167,0.497506,-0.084246,0.839260,0.811939,0.759774,0.252860,211
RF00060,Rfam,RF00060_bench.fasta,0.848148,0.114815,0.037037,0.663646,1.000000,0.927144,0.766791,0.746914,135
RF00061,Rfam,RF00061_bench.fasta,0.896800,0.032487,0.070713,0.858513,0.950002,0.987322,0.932762,0.844583,356
RF00062,Rfam,RF00062_bench.fasta,0.640678,0.118644,0.240678,0.625245,0.943966,0.948461,0.787500,0.483616,177
RF00063,Rfam,RF00063_bench.fasta,0.814433,0.177320,0.008247,0.492962,0.000000,0.936111,0.783333,0.704124,97
RF00064,Rfam,RF00064_bench.fasta,0.756522,0.162542,0.080936,0.482904,0.910966,0.941386,0.746309,0.611706,299
RF00065,Rfam,RF00065_bench.fasta,0.872727,0.095455,0.031818,0.716792,0.870791,0.962682,0.841221,0.803788,132
RF00066,Rfam,RF00066_bench.fasta,0.631389,0.190000,0.178611,0.178840,0.460555,0.873246,0.603041,0.519468,75
RF00067,Rfam,RF00067_bench.fasta,0.654769,0.245956,0.099275,0.168227,0.717314,0.874010,0.625140,0.536085,163
RF00068,Rfam,RF00068_bench.fasta,0.797938,0.156701,0.045361,0.534272,0.940825,0.960284,0.727083,0.667010,97
RF00069,Rfam,RF00069_bench.fasta,0.623762,0.147808,0.228430,0.373140,0.791128,0.828230,0.660000,0.517245,101
RF00070,Rfam,RF00070_bench.fasta,0.663441,0.123656,0.212903,0.590509,0.957320,0.805304,0.754348,0.542413,93
RF00071,Rfam,RF00071_bench.fasta,0.699535,0.121395,0.179070,0.568260,0.843815,0.905751,0.768471,0.630349,86
RF00072,Rfam,RF00072_bench.fasta,0.720807,0.140127,0.139066,0.531301,0.796227,0.852431,0.712607,0.601274,157
RF00073,Rfam,RF00073_bench.fasta,0.710784,0.161765,0.127451,0.398596,0.728517,0.872641,0.738614,0.603268,102
RF00074,Rfam,RF00074_bench.fasta,0.540901,0.137140,0.321959,0.231176,0.676352,0.844991,0.745595,0.471279,101
RF00075,Rfam,RF00075_bench.fasta,0.408156,0.222798,0.369046,-0.137246,0.928161,0.949772,0.753192,0.310814,193
RF00076,Rfam,RF00076_bench.fasta,0.612056,0.185698,0.202246,0.255230,0.578112,0.863263,0.662288,0.513579,97
RF00077,Rfam,RF00077_bench.fasta,0.904142,0.091124,0.004734,0.760855,0.000000,0.993138,0.845238,0.849112,169
RF00078,Rfam,RF00078_bench.fasta,0.626891,0.081232,0.291877,0.596868,0.362830,0.818327,0.697964,0.535084,105
RF00079,Rfam,RF00079_bench.fasta,0.632775,0.135965,0.231260,0.502122,0.757819,0.865713,0.718825,0.560264,114
RF00080,Rfam,RF00080_bench.fasta,0.276890,0.203065,0.520045,-0.045224,0.829821,0.777082,0.744846,0.154011,369
RF00081,Rfam,RF00081_bench.fasta,0.807729,0.125604,0.066667,0.547318,0.593750,0.947609,0.768031,0.710628,115
RF00082,Rfam,RF00082_bench.fasta,0.752079,0.159486,0.088435,0.485635,0.768397,0.923720,0.701368,0.636936,189
RF00083,Rfam,RF00083_bench.fasta,0.724039,0.124880,0.151081,0.528048,0.841663,0.938279,0.755376,0.645267,249
RF00084,Rfam,RF00084_bench.fasta,0.878352,0.094828,0.026820,0.727024,0.555556,0.932809,0.789423,0.796296,261
RF00085,Rfam,RF00085_bench.fasta,0.740230,0.133908,0.125862,0.445371,0.786804,0.931642,0.754651,0.644223,87
RF00086,Rfam,RF00086_bench.fasta,0.713235,0.138235,0.148529,0.517305,0.383910,0.826316,0.654762,0.607143,85
RF00087,Rfam,RF00087_bench.fasta,0.818317,0.130305,0.051378,0.501363,0.711186,0.955893,0.800151,0.739483,79
RF00088,Rfam,RF00088_bench.fasta,0.814474,0.102632,0.082895,0.552801,0.498340,0.951205,0.803333,0.742036,76
RF00089,Rfam,RF00089_bench.fasta,0.770243,0.129555,0.100202,0.414247,0.386136,0.929958,0.721026,0.674251,76
RF00090,Rfam,RF00090_bench.fasta,0.798611,0.124807,0.076582,0.455933,0.574066,0.955963,0.747674,0.710028,216
RF00091,Rfam,RF00091_bench.fasta,0.773565,0.152374,0.074061,0.478966,0.547156,0.930638,0.703387,0.695252,166
RF00092,Rfam,RF00092_bench.fasta,0.844444,0.109259,0.046296,0.606712,0.846826,0.948634,0.788246,0.755291,135
RF00093,Rfam,RF00093_bench.fasta,0.579044,0.155025,0.265931,0.262174,0.877733,0.810106,0.717203,0.470180,102
RF00094,Rfam,RF00094_bench.fasta,0.653725,0.152441,0.193834,0.529791,0.756178,0.883149,0.637097,0.569721,113
RF00095,Rfam,RF00095_bench.fasta,0.624762,0.265397,0.109841,0.054357,0.544814,0.784985,0.623226,0.522011,63
RF00096,Rfam,RF00096_bench.fasta,0.559211,0.151227,0.289562,0.271987,0.457090,0.816171,0.572631,0.460791,189
RF00097,Rfam,RF00097_bench.fasta,0.889259,0.101111,0.009630,0.517824,0.000000,0.995653,0.840374,0.811451,108
RF00099,Rfam,RF00099_bench.fasta,0.741864,0.107832,0.150303,0.526696,0.543548,0.933928,0.633903,0.669436,148
RF00100,Rfam,RF00100_bench.fasta,0.722693,0.078584,0.198722,0.518475,0.731778,0.940611,0.775164,0.635241,402
RF00101,Rfam,RF00101_bench.fasta,0.857717,0.096531,0.045752,0.721866,1.000000,0.959623,0.817308,0.817915,153
RF00102,Rfam,RF00102_bench.fasta,0.554315,0.162037,0.283647,0.271227,0.741283,0.831894,0.615180,0.451461,224
RF00103,Rfam,RF00103_bench.fasta,0.649126,0.206417,0.144458,0.138159,0.553950,0.869552,0.661314,0.559958,86
RF00104,Rfam,RF00104_bench.fasta,0.691319,0.223611,0.085069,0.229081,0.705420,0.919652,0.659634,0.609286,80
RF00105,Rfam,RF00105_bench.fasta,0.902902,0.058036,0.039062,0.692638,0.903879,0.989703,0.871235,0.844350,84
RF00106,Rfam,RF00106_bench.fasta,0.787963,0.161111,0.050926,0.513005,0.722222,0.914967,0.700000,0.702469,108
RF00107,Rfam,RF00107_bench.fasta,0.916667,0.052083,0.031250,0.809311,0.658114,0.968048,0.875527,0.863333,80
RF00108,Rfam,RF00108_bench.fasta,0.691031,0.096928,0.212041,0.550662,0.731670,0.892962,0.698362,0.630702,118
RF00109,Rfam,RF00109_bench.fasta,0.676255,0.125459,0.198286,0.500177,0.697404,0.927582,0.735604,0.575479,86
RF00110,Rfam,RF00110_bench.fasta,0.830357,0.110119,0.059524,0.654259,1.000000,0.911589,0.736446,0.764031,84
RF00111,Rfam,RF00111_bench.fasta,0.713043,0.133504,0.153453,0.443788,0.565889,0.933054,0.705882,0.613619,115
RF00112,Rfam,RF00112_bench.fasta,0.771517,0.138080,0.090402,0.556202,0.976360,0.965979,0.777222,0.696207,95
RF00113,Rfam,RF00113_bench.fasta,0.722537,0.167612,0.109851,0.429692,0.753717,0.923553,0.673440,0.632353,166
RF00114,Rfam,RF00114_bench.fasta,0.592857,0.240842,0.166300,0.032860,0.740725,0.854762,0.649972,0.494836,140
RF00115,Rfam,RF00115_bench.fasta,0.903646,0.093750,0.002604,0.734579,0.000000,0.955133,0.910526,0.833333,96
RF00116,Rfam,RF00116_bench.fasta,0.987179,0.006410,0.006410,0.979198,1.000000,1.000000,0.980519,0.977106,78
RF00117,Rfam,RF00117_bench.fasta,0.991491,0.008509,0.000000,0.968011,0.000000,1.000000,0.984917,0.984484,222
RF00118,Rfam,RF00118_bench.fasta,0.768116,0.126294,0.105590,0.585560,0.781690,0.916591,0.796218,0.680469,69
RF00119,Rfam,RF00119_bench.fasta,0.982278,0.017722,0.000000,0.942018,0.000000,1.000000,0.964103,0.967089,79
RF00121,Rfam,RF00121_bench.fasta,0.743470,0.166978,0.089552,0.443847,0.770509,0.859149,0.717105,0.636727,134
RF00122,Rfam,RF00122_bench.fasta,0.992982,0.005263,0.001754,0.981002,0.000000,1.000000,0.985841,0.985965,114
RF00124,Rfam,RF00124_bench.fasta,0.917308,0.068269,0.014423,0.813420,1.000000,0.985062,0.866667,0.871154,208
RF00125,Rfam,RF00125_bench.fasta,0.912676,0.074178,0.013146,0.801069,1.000000,0.991510,0.900000,0.861502,213
RF00126,Rfam,RF00126_bench.fasta,0.771930,0.152735,0.075335,0.515537,0.963338,0.927019,0.731884,0.669591,323
RF00127,Rfam,RF00127_bench.fasta,0.484341,0.201099,0.314560,0.039698,0.728438,0.821328,0.661686,0.406703,140
RF00128,Rfam,RF00128_bench.fasta,0.746324,0.149398,0.104278,0.475151,0.843628,0.915673,0.709244,0.661723,176
RF00129,Rfam,RF00129_bench.fasta,0.804747,0.108051,0.087202,0.561707,0.774485,0.940231,0.814151,0.738475,82
RF00130,Rfam,RF00130_bench.fasta,0.520726,0.124358,0.354916,0.572755,0.855826,0.862799,0.780944,0.459823,116
RF00131,Rfam,RF00131_bench.fasta,0.623328,0.224605,0.152067,0.145979,0.655823,0.807557,0.671156,0.546327,85
RF00132,Rfam,RF00132_bench.fasta,0.816151,0.134880,0.048969,0.621186,0.926475,0.892859,0.817708,0.746173,97
RF00133,Rfam,RF00133_bench.fasta,0.549936,0.206402,0.243662,0.198697,0.424383,0.769017,0.597493,0.461046,110
RF00134,Rfam,RF00134_bench.fasta,0.641608,0.184003,0.174388,0.305486,0.767405,0.840195,0.661959,0.540376,104
RF00135,Rfam,RF00135_bench.fasta,0.901053,0.090526,0.008421,0.709613,0.000000,0.995047,0.882979,0.825263,95
RF00136,Rfam,RF00136_bench.fasta,0.762626,0.087879,0.149495,0.586364,0.765844,0.964710,0.808478,0.684271,90
RF00137,Rfam,RF00137_bench.fasta,0.866071,0.094643,0.039286,0.713612,1.000000,0.976876,0.804702,0.797619,80
RF00138,Rfam,RF00138_bench.fasta,0.843564,0.126733,0.029703,0.639522,0.962963,0.950217,0.812000,0.753465,101
RF00139,Rfam,RF00139_bench.fasta,0.796782,0.086437,0.116782,0.587460,0.841260,0.944025,0.693589,0.725993,150
RF00140,Rfam,RF00140_bench.fasta,0.581509,0.199888,0.218604,0.198428,0.662938,0.829731,0.676471,0.488490,137
RF00142,Rfam,RF00142_bench.fasta,0.845560,0.090090,0.064350,0.705660,0.966963,0.967206,0.829870,0.754183,111
RF00143,Rfam,RF00143_bench.fasta,0.611684,0.154066,0.234250,0.371352,0.775447,0.889617,0.763600,0.541057,97
RF00144,Rfam,RF00144_bench.fasta,0.801568,0.097256,0.101176,0.592971,0.923535,0.936780,0.824713,0.722463,83
RF00145,Rfam,RF00145_bench.fasta,0.698937,0.208973,0.092090,0.254813,0.818573,0.880987,0.718900,0.578276,77
RF00147,Rfam,RF00147_bench.fasta,0.629939,0.169453,0.200608,0.398197,0.757153,0.764089,0.668203,0.518354,94
RF00149,Rfam,RF00149_bench.fasta,0.754630,0.156636,0.088735,0.434364,0.776291,0.892877,0.713396,0.658109,108
RF00150,Rfam,RF00150_bench.fasta,0.714286,0.128205,0.157509,0.600128,0.865133,0.890959,0.688312,0.589133,78
RF00151,Rfam,RF00151_bench.fasta,0.569942,0.093970,0.336088,0.652783,0.916058,0.827973,0.722635,0.516299,99
RF00152,Rfam,RF00152_bench.fasta,0.747696,0.132104,0.120200,0.430302,0.627744,0.939344,0.726320,0.647124,93
RF00153,Rfam,RF00153_bench.fasta,0.908046,0.073892,0.018062,0.669026,0.679366,0.994623,0.850498,0.841228,87
RF00154,Rfam,RF00154_bench.fasta,0.648625,0.093611,0.257764,0.558091,0.722473,0.880890,0.710444,0.572195,98
RF00155,Rfam,RF00155_bench.fasta,0.814621,0.107034,0.078345,0.546552,0.400350,0.957650,0.767500,0.745540,145
RF00156,Rfam,RF00156_bench.fasta,0.774153,0.130794,0.095052,0.439768,0.650688,0.948189,0.749843,0.692375,149
RF00157,Rfam,RF00157_bench.fasta,0.825581,0.101163,0.073256,0.577712,0.746906,0.946611,0.770588,0.756977,86
RF00158,Rfam,RF00158_bench.fasta,0.747863,0.112061,0.140076,0.533797,0.634664,0.924222,0.700481,0.678177,81
RF00159,Rfam,RF00159_bench.fasta,0.862403,0.091085,0.046512,0.711693,0.632456,0.934430,0.798039,0.792248,86
RF00160,Rfam,RF00160_bench.fasta,0.770874,0.096117,0.133010,0.645150,0.884937,0.953497,0.792157,0.674865,103
RF00161,Rfam,RF00161_bench.fasta,0.836538,0.126923,0.036538,0.568618,0.680314,0.941098,0.808594,0.757143,65
RF00162,Rfam,RF00162_bench.fasta,0.322890,0.136299,0.540811,-0.037560,0.698512,0.771610,0.671671,0.272406,239
RF00163,Rfam,RF00163_bench.fasta,0.384505,0.099942,0.515553,0.334262,0.971699,0.861763,0.824623,0.258513,124
RF00164,Rfam,RF00164_bench.fasta,0.757559,0.157335,0.085106,0.497902,1.000000,0.902600,0.746568,0.711570,47
RF00165,Rfam,RF00165_bench.fasta,0.589744,0.265224,0.145032,0.008876,0.336192,0.847585,0.530607,0.476181,72
RF00166,Rfam,RF00166_bench.fasta,0.705775,0.143640,0.150585,0.435349,0.566590,0.886278,0.656549,0.608688,152
RF00167,Rfam,RF00167_bench.fasta,0.573957,0.318318,0.107725,-0.056931,0.360555,0.802963,0.538332,0.484065,113
RF00168,Rfam,RF00168_bench.fasta,0.410157,0.259435,0.330408,0.014145,0.800372,0.683421,0.613982,0.314895,274
RF00169,Rfam,RF00169_bench.fasta,0.415754,0.259541,0.324705,-0.167134,0.508511,0.762532,0.550903,0.309323,127
RF00170,Rfam,RF00170_bench.fasta,0.710843,0.129088,0.160069,0.565269,0.824053,0.936780,0.778746,0.606426,83
RF00171,Rfam,RF00171_bench.fasta,0.710996,0.123201,0.165803,0.533558,0.800045,0.918708,0.762153,0.598590,193
RF00172,Rfam,RF00172_bench.fasta,0.762963,0.116049,0.120988,0.591691,0.821852,0.925876,0.704120,0.665741,90
RF00173,Rfam,RF00173_bench.fasta,0.873077,0.111538,0.015385,0.703999,1.000000,0.980994,0.800000,0.800000,52
RF00174,Rfam,RF00174_bench.fasta,0.261651,0.175735,0.562614,-0.087679,0.720911,0.738885,0.728934,0.208310,461
RF00175,Rfam,RF00175_bench.fasta,0.779412,0.074468,0.146120,0.708365,0.204140,0.907589,0.604540,0.734911,47
RF00176,Rfam,RF00176_bench.fasta,0.949879,0.041667,0.008454,0.842380,0.566783,0.994836,0.938339,0.920148,92
RF00177,Rfam,RF00177_bench.fasta,0.626689,0.157815,0.215496,0.309414,0.758758,0.916259,0.732721,0.562867,1952
RF00178,Rfam,RF00178_bench.fasta,0.778822,0.110693,0.110485,0.548573,0.703068,0.926765,0.808889,0.702428,76
RF00179,Rfam,RF00179_bench.fasta,0.982394,0.007042,0.010563,0.977147,1.000000,1.000000,0.975000,0.967807,71
RF00180,Rfam,RF00180_bench.fasta,0.916840,0.070686,0.012474,0.790139,0.000000,1.000000,0.854701,0.875606,37
RF00181,Rfam,RF00181_bench.fasta,0.542217,0.144146,0.313637,0.221140,0.800598,0.894423,0.713591,0.447766,109
RF00182,Rfam,RF00182_bench.fasta,0.848485,0.133333,0.018182,0.648984,1.000000,0.925293,0.787462,0.780000,110
RF00183,Rfam,RF00183_bench.fasta,0.822500,0.114375,0.063125,0.525749,0.762114,0.943555,0.763889,0.734417,100
RF00184,Rfam,RF00184_bench.fasta,0.976852,0.023148,0.000000,0.936410,0.000000,0.990832,0.952830,0.959877,54
RF00185,Rfam,RF00185_bench.fasta,0.610472,0.192897,0.196630,0.281921,0.581317,0.793524,0.556573,0.496385,118
RF00186,Rfam,RF00186_bench.fasta,0.735043,0.077778,0.187179,0.670855,0.571479,0.908840,0.710890,0.678667,90
RF00187,Rfam,RF00187_bench.fasta,0.886061,0.063030,0.050909,0.747524,0.602081,0.967957,0.843980,0.825697,75
RF00188,Rfam,RF00188_bench.fasta,0.745493,0.125663,0.128844,0.479850,0.891920,0.919644,0.773787,0.665827,92
RF00189,Rfam,RF00189_bench.fasta,0.936975,0.060924,0.002101,0.804296,0.000000,1.000000,0.940299,0.898459,68
RF00190,Rfam,RF00190_bench.fasta,0.669455,0.131606,0.198939,0.410941,0.770520,0.892820,0.654557,0.575160,169
RF00191,Rfam,RF00191_bench.fasta,0.796635,0.118990,0.084375,0.514811,0.833800,0.955576,0.718433,0.710135,160
RF00192,Rfam,RF00192_bench.fasta,0.981818,0.018182,0.000000,0.934370,0.000000,1.000000,0.962963,0.963636,55
RF00193,Rfam,RF00193_bench.fasta,0.981818,0.011313,0.006869,0.964018,0.000000,0.996679,0.963909,0.972525,275
RF00194,Rfam,RF00194_bench.fasta,0.955882,0.026961,0.017157,0.878347,1.000000,1.000000,0.945274,0.920450,68
RF00195,Rfam,RF00195_bench.fasta,0.766621,0.137720,0.095658,0.520835,0.694557,0.917555,0.723172,0.681275,134
RF00196,Rfam,RF00196_bench.fasta,0.971429,0.028571,0.000000,0.926619,0.000000,0.985507,0.941176,0.958095,35
RF00198,Rfam,RF00198_bench.fasta,0.922844,0.057278,0.019879,0.782751,1.000000,0.975028,0.876871,0.895702,106
RF00199,Rfam,RF00199_bench.fasta,0.719231,0.126923,0.153846,0.495970,0.526645,0.889509,0.698708,0.636658,130
RF00200,Rfam,RF00200_bench.fasta,0.677845,0.094008,0.228147,0.635404,0.830408,0.901111,0.796892,0.605965,107
RF00201,Rfam,RF00201_bench.fasta,0.962733,0.034783,0.002484,0.888530,0.000000,1.000000,0.927318,0.936646,115
RF00202,Rfam,RF00202_bench.fasta,0.865385,0.083333,0.051282,0.805106,1.000000,0.870964,0.798701,0.811966,78
RF00203,Rfam,RF00203_bench.fasta,0.699074,0.131944,0.168981,0.480411,0.737786,0.881602,0.706433,0.582755,96
RF00204,Rfam,RF00204_bench.fasta,0.770609,0.121864,0.107527,0.600211,0.812500,0.942226,0.762077,0.687276,93
RF00205,Rfam,RF00205_bench.fasta,0.818533,0.034749,0.146718,0.859843,0.882778,0.957369,0.894805,0.734449,111
RF00206,Rfam,RF00206_bench.fasta,0.669147,0.177083,0.153770,0.314685,0.744666,0.861003,0.726316,0.574851,96
RF00207,Rfam,RF00207_bench.fasta,0.916667,0.041667,0.041667,0.809421,1.000000,0.964259,0.931915,0.853241,48
RF00208,Rfam,RF00208_bench.fasta,0.983908,0.016092,0.000000,0.952785,0.000000,1.000000,0.967442,0.972414,87
RF00209,Rfam,RF00209_bench.fasta,0.895105,0.066294,0.038601,0.704385,0.694538,0.983399,0.882947,0.844569,286
RF00210,Rfam,RF00210_bench.fasta,0.721747,0.089669,0.188584,0.611669,0.847283,0.925250,0.765520,0.667405,569
RF00211,Rfam,RF00211_bench.fasta,0.767105,0.163158,0.069737,0.454434,0.576369,0.911381,0.719415,0.655639,95
RF00212,Rfam,RF00212_bench.fasta,0.812741,0.108108,0.079151,0.665589,0.797070,0.939128,0.743640,0.718790,74
RF00213,Rfam,RF00213_bench.fasta,0.515697,0.233610,0.250693,0.063881,0.787769,0.776756,0.696320,0.399661,114
RF00214,Rfam,RF00214_bench.fasta,0.883789,0.065684,0.050526,0.757750,0.482410,0.969850,0.798723,0.842491,95
RF00215,Rfam,RF00215_bench.fasta,0.843750,0.121032,0.035218,0.496172,0.646032,0.973296,0.804829,0.762676,72
RF00216,Rfam,RF00216_bench.fasta,0.964797,0.010238,0.024965,0.941174,1.000000,0.988102,0.931195,0.952416,310
RF00217,Rfam,RF00217_bench.fasta,0.884615,0.063187,0.052198,0.739886,0.729167,0.972302,0.831325,0.829365,84
RF00218,Rfam,RF00218_bench.fasta,0.921905,0.051429,0.026667,0.825185,0.903093,0.987290,0.909615,0.868571,105
RF00220,Rfam,RF00220_bench.fasta,0.869186,0.130814,0.000000,0.603566,0.000000,0.947329,0.770588,0.813601,86
RF00221,Rfam,RF00221_bench.fasta,0.902344,0.078125,0.019531,0.755412,0.000000,0.957904,0.861111,0.828125,64
RF00222,Rfam,RF00222_bench.fasta,0.821251,0.125621,0.053128,0.529421,0.960486,0.967951,0.761856,0.739381,389
RF00223,Rfam,RF00223_bench.fasta,0.813478,0.097072,0.089450,0.610288,0.961276,0.985349,0.846618,0.720116,277
RF00224,Rfam,RF00224_bench.fasta,0.920118,0.052597,0.027285,0.811834,0.944016,0.991953,0.880105,0.859829,507
