family,tool,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength,sp
RF00110,mafft,RF00110_mafft.fasta,0.845679,0.12963,0.024691,0.57403,0.804554,0.923619,0.795312,0.765432,81,0.8801102434542949
RF00111,mafft,RF00111_mafft.fasta,0.73369,0.151337,0.114973,0.410839,0.789655,0.947226,0.763627,0.631417,110,0.8377109200891436
RF00124,mafft,RF00124_mafft.fasta,0.91401,0.076329,0.009662,0.794583,0.5,0.984595,0.869903,0.866184,207,0.9847590953785644
RF00128,mafft,RF00128_mafft.fasta,0.761286,0.155267,0.083447,0.447484,0.907706,0.919615,0.736842,0.676171,172,0.8987753911944796
RF00136,mafft,RF00136_mafft.fasta,0.777376,0.092459,0.130165,0.547939,0.719389,0.963631,0.818182,0.696773,88,0.972777713559126
RF00138,mafft,RF00138_mafft.fasta,0.841584,0.128713,0.029703,0.637108,0.93425,0.950761,0.814,0.749505,101,0.9779874213836478
RF00144,mafft,RF00144_mafft.fasta,0.79939,0.099434,0.101176,0.575165,0.832568,0.935813,0.838231,0.723734,83,0.985634584465033
RF00147,mafft,RF00147_mafft.fasta,0.618541,0.180851,0.200608,0.35467,0.869668,0.743374,0.65745,0.515431,94,0.83883964544722
RF00156,mafft,RF00156_mafft.fasta,0.74932,0.126246,0.124434,0.472293,0.762275,0.933808,0.726098,0.669335,154,0.966724419501115
RF00159,mafft,RF00159_mafft.fasta,0.876471,0.088235,0.035294,0.711268,1.0,0.942628,0.831349,0.804706,85,0.9238410596026492
RF00163,mafft,RF00163_mafft.fasta,0.381579,0.070086,0.548335,0.705178,0.962353,0.849953,0.868506,0.223853,133,0.6302080428356295
RF00173,mafft,RF00173_mafft.fasta,0.873077,0.111538,0.015385,0.703999,1.0,0.980994,0.8,0.8,52,0.9881422924901184
RF00180,mafft,RF00180_mafft.fasta,0.902287,0.085239,0.012474,0.721686,0.433013,1.0,0.852564,0.848579,37,0.9404255319148936
RF00181,mafft,RF00181_mafft.fasta,0.525121,0.142857,0.332022,0.361266,0.79464,0.878515,0.737212,0.429845,112,0.9106576408646456
RF00182,mafft,RF00182_mafft.fasta,0.856061,0.125758,0.018182,0.674005,0.710557,0.926353,0.798165,0.787273,110,0.980721393034826
RF00186,mafft,RF00186_mafft.fasta,0.793327,0.088044,0.118628,0.610272,0.510818,0.928419,0.799719,0.735162,83,0.9293020457280384
RF00191,mafft,RF00191_mafft.fasta,0.813116,0.125986,0.060897,0.486561,0.760637,0.963711,0.743672,0.723945,156,0.956961101933103
RF00200,mafft,RF00200_mafft.fasta,0.657128,0.08691,0.255962,0.693672,0.95535,0.872939,0.789305,0.588567,111,0.8751297781972629
RF00202,mafft,RF00202_mafft.fasta,0.852564,0.096154,0.051282,0.771504,1.0,0.867144,0.787879,0.794872,78,0.9285714285714286
RF00206,mafft,RF00206_mafft.fasta,0.661094,0.203141,0.135765,0.299794,0.72953,0.85774,0.708141,0.571125,94,0.7763469598493592
RF00211,mafft,RF00211_mafft.fasta,0.776596,0.163564,0.05984,0.442884,0.669624,0.908353,0.732527,0.664134,94,0.9282436378806842
RF00213,mafft,RF00213_mafft.fasta,0.516069,0.23987,0.244061,0.021251,0.825312,0.791121,0.6875,0.383998,113,0.7137719969395563
RF00217,mafft,RF00217_mafft.fasta,0.888278,0.059524,0.052198,0.756236,0.788383,0.973091,0.834106,0.835928,84,0.9435838904288276
RF00223,mafft,RF00223_mafft.fasta,0.823506,0.087044,0.08945,0.657984,0.95979,0.970177,0.845411,0.730245,277,0.9251269035532996
RF00226,mafft,RF00226_mafft.fasta,0.791913,0.16568,0.042406,0.617774,0.951932,0.881602,0.827893,0.71499,338,0.6636873830804406
RF00230,mafft,RF00230_mafft.fasta,0.303448,0.203102,0.49345,0.018139,0.892931,0.682253,0.761488,0.213687,458,0.5999565255195201
RF00231,mafft,RF00231_mafft.fasta,0.81186,0.123009,0.065131,0.484025,0.639436,0.957399,0.732449,0.727742,293,0.9631358660656794
RF00238,mafft,RF00238_mafft.fasta,0.734028,0.209954,0.056019,0.265784,0.559367,0.892193,0.666667,0.65129,90,0.784550788609571
RF00247,mafft,RF00247_mafft.fasta,0.554745,0.137643,0.307612,0.566243,0.960749,0.895817,0.779412,0.431352,137,0.8296337402885683
RF00248,mafft,RF00248_mafft.fasta,0.663403,0.127929,0.208668,0.527811,0.799955,0.914604,0.743506,0.593314,89,0.968705062726236
RF00255,mafft,RF00255_mafft.fasta,0.728363,0.152445,0.119192,0.405036,0.853081,0.911968,0.79223,0.655084,89,0.9753274111170732
RF00256,mafft,RF00256_mafft.fasta,0.733333,0.165625,0.101042,0.361975,0.810929,0.914088,0.7173,0.645163,80,0.9309327384459972
RF00263,mafft,RF00263_mafft.fasta,0.755865,0.181397,0.062739,0.28459,0.654064,0.93222,0.676648,0.656127,141,0.9411152134810188
RF00266,mafft,RF00266_mafft.fasta,0.777834,0.157895,0.064271,0.431838,0.392156,0.901923,0.721538,0.70251,76,0.9320336730172796
RF00267,mafft,RF00267_mafft.fasta,0.714286,0.173565,0.11215,0.39146,0.730094,0.904439,0.71496,0.617747,107,0.873481057898499
RF00268,mafft,RF00268_mafft.fasta,0.916456,0.048101,0.035443,0.830811,0.8125,0.994121,0.905128,0.849367,79,0.9689189189189188
RF00273,mafft,RF00273_mafft.fasta,0.725694,0.144345,0.12996,0.462482,0.715823,0.862186,0.721386,0.655021,84,0.8906162678453488
RF00280,mafft,RF00280_mafft.fasta,0.875893,0.079464,0.044643,0.642653,0.808011,0.98032,0.848101,0.799038,80,0.9613670133729568
RF00284,mafft,RF00284_mafft.fasta,0.811245,0.143431,0.045324,0.449594,0.554105,0.952361,0.775261,0.732989,83,0.9539970753107484
RF00302,mafft,RF00302_mafft.fasta,0.75207,0.162008,0.085921,0.405218,0.881362,0.950288,0.757039,0.637442,138,0.890973355084285
RF00310,mafft,RF00310_mafft.fasta,0.945652,0.034783,0.019565,0.915254,1.0,0.994836,0.934066,0.91087,92,1.0
RF00312,mafft,RF00312_mafft.fasta,0.911692,0.060945,0.027363,0.806684,1.0,0.96923,0.882206,0.857711,134,0.957900207900208
RF00322,mafft,RF00322_mafft.fasta,0.883077,0.081538,0.035385,0.746773,0.978465,0.993452,0.857364,0.796923,130,0.9942100909842844
RF00329,mafft,RF00329_mafft.fasta,0.849462,0.102748,0.04779,0.669575,1.0,0.964941,0.816425,0.785842,93,0.9771790808240888
RF00332,mafft,RF00332_mafft.fasta,0.73975,0.153298,0.106952,0.479841,0.80537,0.923955,0.720072,0.642246,102,0.9075471698113208
RF00335,mafft,RF00335_mafft.fasta,0.620709,0.148025,0.231266,0.341302,0.733386,0.87469,0.743118,0.542924,129,0.7895619549283176
RF00336,mafft,RF00336_mafft.fasta,0.94902,0.026144,0.024837,0.914903,1.0,0.986563,0.930263,0.913725,153,0.9592391304347826
RF00339,mafft,RF00339_mafft.fasta,0.85,0.088462,0.061538,0.707062,0.722222,0.947671,0.777922,0.783476,78,0.974058060531192
RF00344,mafft,RF00344_mafft.fasta,0.828947,0.126316,0.044737,0.67783,1.0,0.922181,0.829333,0.748684,76,1.0
RF00348,mafft,RF00348_mafft.fasta,0.874862,0.125138,0.0,0.682523,0.0,0.989402,0.774554,0.824659,129,1.0
RF00360,mafft,RF00360_mafft.fasta,0.780402,0.118985,0.100612,0.57351,0.804969,0.973566,0.828042,0.665354,127,0.8084221471276319
RF00368,mafft,RF00368_mafft.fasta,0.744318,0.178267,0.077415,0.383635,0.721909,0.900271,0.716236,0.656439,88,0.7091292875989446
RF00371,mafft,RF00371_mafft.fasta,0.888587,0.067935,0.043478,0.778133,1.0,0.964503,0.881868,0.797101,92,0.9047619047619048
RF00387,mafft,RF00387_mafft.fasta,0.857418,0.096339,0.046243,0.791854,1.0,0.853322,0.822674,0.804239,173,0.93261231281198
RF00393,mafft,RF00393_mafft.fasta,0.933333,0.053901,0.012766,0.821448,0.0,0.990024,0.877143,0.884397,141,0.9971098265895952
RF00396,mafft,RF00396_mafft.fasta,0.649317,0.176522,0.174161,0.212971,0.795724,0.920921,0.70575,0.5398,161,0.8559298563641627
RF00400,mafft,RF00400_mafft.fasta,0.780687,0.109656,0.109656,0.520495,0.78241,0.947231,0.770604,0.700556,141,0.9356393606393606
RF00404,mafft,RF00404_mafft.fasta,0.837484,0.094645,0.06787,0.562464,0.58038,0.958538,0.772414,0.759473,146,0.9242626256056714
RF00405,mafft,RF00405_mafft.fasta,0.804903,0.10746,0.087637,0.527296,0.653424,0.947784,0.7741,0.727158,142,0.9536668307306816
RF00411,mafft,RF00411_mafft.fasta,0.797009,0.131507,0.071484,0.422763,0.441795,0.948507,0.725156,0.710168,143,0.9653518123667376
RF00426,mafft,RF00426_mafft.fasta,0.778036,0.156934,0.06503,0.336651,0.778014,0.955255,0.728275,0.669858,137,0.8794861197217055
RF00429,mafft,RF00429_mafft.fasta,0.812925,0.125589,0.061486,0.478662,0.856384,0.959489,0.782403,0.72854,147,0.9339551643138954
RF00432,mafft,RF00432_mafft.fasta,0.870915,0.102124,0.026961,0.608864,1.0,0.985955,0.781893,0.785743,136,0.937778721596942
RF00433,mafft,RF00433_mafft.fasta,0.962719,0.030702,0.006579,0.909056,1.0,0.99082,0.942605,0.938158,152,0.9538393253439856
RF00448,mafft,RF00448_mafft.fasta,0.852968,0.109589,0.037443,0.647252,0.949511,0.972348,0.859633,0.763014,219,0.9134709931170109
RF00451,mafft,RF00451_mafft.fasta,0.4645,0.176,0.3595,0.2983,0.943763,0.854631,0.758742,0.370958,160,0.7774625632922757
RF00455,mafft,RF00455_mafft.fasta,0.570317,0.272704,0.15698,-0.051375,0.735845,0.821564,0.633032,0.461691,94,0.876164754817671
RF00462,mafft,RF00462_mafft.fasta,0.90566,0.09434,0.0,0.734637,0.0,0.953802,0.814103,0.854088,53,1.0
RF00479,mafft,RF00479_mafft.fasta,0.764791,0.168831,0.066378,0.437649,0.87399,0.926608,0.774052,0.646946,99,0.8273615635179153
RF00483,mafft,RF00483_mafft.fasta,0.955579,0.03719,0.007231,0.870528,0.0,0.992275,0.932292,0.926505,121,0.9567177637511272
RF00487,mafft,RF00487_mafft.fasta,0.830202,0.080822,0.088976,0.735245,0.931933,0.975307,0.850071,0.747253,217,0.9268527430221368
RF00494,mafft,RF00494_mafft.fasta,0.821572,0.109864,0.068565,0.487547,0.686983,0.966067,0.734686,0.73442,86,0.974744643746886
RF00503,mafft,RF00503_mafft.fasta,0.626263,0.161953,0.211785,0.356512,0.904725,0.889111,0.770995,0.45911,594,0.5376119567009177
RF00517,mafft,RF00517_mafft.fasta,0.778182,0.17013,0.051688,0.388433,0.701964,0.904262,0.676984,0.712102,55,0.9818303582106211
RF00520,mafft,RF00520_mafft.fasta,0.629085,0.096405,0.27451,0.694985,0.920084,0.862794,0.80198,0.512418,102,0.8980021030494216
RF00521,mafft,RF00521_mafft.fasta,0.725595,0.214286,0.060119,0.247889,0.428369,0.914425,0.69488,0.647497,84,0.8579684850081505
RF00526,mafft,RF00526_mafft.fasta,0.786111,0.140278,0.073611,0.582977,0.69223,0.900196,0.787921,0.716667,90,0.8671359436867576
RF00527,mafft,RF00527_mafft.fasta,0.796591,0.136364,0.067045,0.505539,0.863228,0.946556,0.786207,0.7,88,0.8436342922244375
RF00531,mafft,RF00531_mafft.fasta,0.754348,0.148551,0.097101,0.435882,0.574819,0.886439,0.745055,0.668219,92,0.8284628177714422
RF00533,mafft,RF00533_mafft.fasta,0.732407,0.107407,0.160185,0.606901,0.880927,0.906829,0.804307,0.636869,90,0.8771741464462101
RF00537,mafft,RF00537_mafft.fasta,0.710391,0.159465,0.130144,0.430227,0.746924,0.907466,0.739875,0.606693,108,0.7634589995599237
RF00553,mafft,RF00553_mafft.fasta,0.651577,0.125184,0.223239,0.390937,0.810258,0.933262,0.752709,0.549039,211,0.8332507356357441
RF00554,mafft,RF00554_mafft.fasta,0.807934,0.121861,0.070205,0.431864,0.856175,0.97053,0.790805,0.716572,146,0.9667396179514198
RF00558,mafft,RF00558_mafft.fasta,0.528324,0.283691,0.187984,-0.077054,0.751542,0.769183,0.5988,0.414906,156,0.601298506904165
RF00560,mafft,RF00560_mafft.fasta,0.785137,0.113721,0.101142,0.466209,0.739527,0.958416,0.766477,0.711131,147,0.9943545892438904
RF00569,mafft,RF00569_mafft.fasta,0.804075,0.0721,0.123824,0.67234,0.873452,0.959207,0.812368,0.736528,87,0.94172790926451
RF00570,mafft,RF00570_mafft.fasta,0.779014,0.101749,0.119237,0.549965,0.908195,0.9459,0.731668,0.677564,74,0.9477454203851572
RF00580,mafft,RF00580_mafft.fasta,0.835481,0.129296,0.035223,0.476134,0.710886,0.960887,0.769965,0.755566,97,0.9648363750786658
RF00601,mafft,RF00601_mafft.fasta,0.847407,0.12,0.032593,0.644748,0.620791,0.970938,0.780597,0.755556,135,0.9666408068269976
RF00602,mafft,RF00602_mafft.fasta,0.738281,0.133594,0.128125,0.420244,0.79261,0.94623,0.73847,0.646332,160,0.9539283918600652
RF00611,mafft,RF00611_mafft.fasta,0.751064,0.119149,0.129787,0.616477,0.895003,0.957322,0.817204,0.589362,94,0.8002773925104022
RF00613,mafft,RF00613_mafft.fasta,0.815972,0.136111,0.047917,0.45399,0.647377,0.954789,0.807692,0.731725,144,0.962005605730302
RF00619,mafft,RF00619_mafft.fasta,0.681563,0.146418,0.172019,0.263683,0.779343,0.919228,0.762691,0.565832,146,0.7370568190057278
RF00629,mafft,RF00629_mafft.fasta,0.813337,0.177176,0.009487,0.474929,0.927859,0.929073,0.72521,0.741329,256,0.9392821053556524
RF00635,mafft,RF00635_mafft.fasta,0.95502,0.044329,0.000652,0.808977,0.0,1.0,0.920447,0.918622,118,0.9921671018276762
RF00636,mafft,RF00636_mafft.fasta,0.927661,0.044085,0.028254,0.792985,0.960665,0.989137,0.885031,0.887146,379,0.9886973749380882
RF00641,mafft,RF00641_mafft.fasta,0.701774,0.189889,0.108337,0.197097,0.678738,0.930036,0.612912,0.57586,87,0.9312866086076812
RF00642,mafft,RF00642_mafft.fasta,0.723795,0.168976,0.107229,0.31809,0.814762,0.884153,0.779777,0.636894,80,0.8958201225956457
RF00647,mafft,RF00647_mafft.fasta,0.897059,0.102941,0.0,0.794118,0.0,0.944278,0.925373,0.794118,68,1.0
RF00658,mafft,RF00658_mafft.fasta,0.861569,0.076467,0.061964,0.695604,0.833816,0.972212,0.830605,0.794265,74,0.9563771875342516
RF00687,mafft,RF00687_mafft.fasta,0.917683,0.007622,0.074695,0.972452,0.95925,0.994244,0.977623,0.855996,82,1.0
RF00692,mafft,RF00692_mafft.fasta,0.700787,0.158605,0.140607,0.451027,0.895943,0.929045,0.73356,0.573678,127,0.8592800374006545
RF00719,mafft,RF00719_mafft.fasta,0.923077,0.030769,0.046154,0.894628,0.960391,0.995047,0.934534,0.867341,95,1.0
RF00727,mafft,RF00727_mafft.fasta,0.743842,0.155993,0.100164,0.361997,0.79057,0.91792,0.791113,0.64307,87,0.9334383615596692
RF00730,mafft,RF00730_mafft.fasta,0.694679,0.138716,0.166606,0.419263,0.909119,0.951233,0.825926,0.590673,109,0.8793158061450744
RF00737,mafft,RF00737_mafft.fasta,0.878431,0.054902,0.066667,0.799986,0.954174,0.977619,0.866667,0.807395,85,0.9908872294646248
RF00756,mafft,RF00756_mafft.fasta,0.951247,0.030612,0.018141,0.868922,0.973281,1.0,0.953917,0.910169,63,1.0
RF00758,mafft,RF00758_mafft.fasta,0.963636,0.01244,0.023923,0.947756,0.96776,1.0,0.974855,0.931292,95,1.0
RF00760,mafft,RF00760_mafft.fasta,0.856566,0.048485,0.094949,0.792294,0.945777,0.979481,0.908844,0.768254,99,0.9761904761904762
RF00768,mafft,RF00768_mafft.fasta,0.928571,0.063492,0.007937,0.825087,0.0,0.994373,0.927711,0.861111,84,1.0
RF00770,mafft,RF00770_mafft.fasta,0.76388,0.014047,0.222074,0.941076,0.951187,0.975285,0.923077,0.697436,115,0.9944108057755008
RF00783,mafft,RF00783_mafft.fasta,0.925373,0.054726,0.0199,0.798895,0.763523,1.0,0.920875,0.872305,67,1.0
RF00791,mafft,RF00791_mafft.fasta,0.789333,0.128,0.082667,0.583178,0.919893,0.955459,0.754054,0.661333,75,0.9078341013824884
RF00825,mafft,RF00825_mafft.fasta,0.791476,0.1621,0.046423,0.449056,0.894891,0.938351,0.679012,0.702301,73,0.9890979257115292
RF00830,mafft,RF00830_mafft.fasta,0.725914,0.151163,0.122924,0.476981,0.903885,0.907981,0.727731,0.600221,86,0.8886583679114799
RF00845,mafft,RF00845_mafft.fasta,0.881188,0.073267,0.045545,0.734378,0.940365,0.983285,0.866,0.787129,101,0.961123110151188
RF00849,mafft,RF00849_mafft.fasta,0.888889,0.069444,0.041667,0.767919,1.0,0.98701,0.861972,0.798611,72,0.993939393939394
RF00850,mafft,RF00850_mafft.fasta,0.876068,0.115385,0.008547,0.692937,1.0,0.967608,0.865801,0.777778,78,0.9739130434782608
RF00851,mafft,RF00851_mafft.fasta,0.853175,0.130952,0.015873,0.66021,1.0,0.954195,0.827309,0.742063,84,0.991869918699187
RF00852,mafft,RF00852_mafft.fasta,0.830247,0.08642,0.083333,0.741517,0.955511,0.915736,0.8375,0.718107,81,0.9681372549019608
RF00857,mafft,RF00857_mafft.fasta,0.876582,0.063291,0.060127,0.808575,1.0,0.94462,0.865385,0.78692,79,0.980997624703088
RF00870,mafft,RF00870_mafft.fasta,0.940741,0.0,0.059259,1.0,0.954372,1.0,0.990833,0.893239,81,1.0
RF00873,mafft,RF00873_mafft.fasta,0.843489,0.080048,0.076464,0.726813,1.0,0.977779,0.908213,0.777479,93,1.0
RF00884,mafft,RF00884_mafft.fasta,0.855422,0.108434,0.036145,0.701277,1.0,0.9896,0.857724,0.718876,83,0.6593886462882096
RF00888,mafft,RF00888_mafft.fasta,0.903061,0.07483,0.022109,0.782966,0.861111,0.994373,0.870912,0.848639,84,0.9735449735449736
RF00893,mafft,RF00893_mafft.fasta,0.989442,0.010558,0.0,0.970914,0.0,1.0,0.978788,0.978884,221,1.0
RF00911,mafft,RF00911_mafft.fasta,0.969136,0.024691,0.006173,0.92756,0.0,0.994255,0.95,0.942387,81,1.0
RF00912,mafft,RF00912_mafft.fasta,0.931686,0.0625,0.005814,0.795446,0.0,0.988466,0.895588,0.885797,86,0.9748110831234256
RF00922,mafft,RF00922_mafft.fasta,0.987952,0.012048,0.0,0.975904,0.0,0.98854,0.97561,0.975904,83,1.0
RF00934,mafft,RF00934_mafft.fasta,0.931818,0.068182,0.0,0.863636,0.0,0.933672,0.915385,0.863636,66,1.0
RF00950,mafft,RF00950_mafft.fasta,0.727273,0.196023,0.076705,0.278454,0.852003,0.901582,0.734195,0.630208,88,0.8716683119447186
RF00956,mafft,RF00956_mafft.fasta,0.896552,0.088123,0.015326,0.760124,1.0,0.985961,0.841085,0.804598,87,0.992156862745098
RF00963,mafft,RF00963_mafft.fasta,0.939759,0.042169,0.018072,0.863158,1.0,1.0,0.969512,0.879518,83,1.0
RF00965,mafft,RF00965_mafft.fasta,0.925,0.030556,0.044444,0.889705,1.0,1.0,0.946479,0.851389,72,0.9832317073170732
RF00976,mafft,RF00976_mafft.fasta,0.983871,0.012097,0.004032,0.970786,0.0,0.992271,0.971311,0.973118,62,1.0
RF00983,mafft,RF00983_mafft.fasta,0.969512,0.030488,0.0,0.939024,0.0,0.970874,0.950617,0.939024,82,1.0
RF00991,mafft,RF00991_mafft.fasta,0.940075,0.037453,0.022472,0.846204,0.830719,0.989386,0.910354,0.89638,89,0.9844710449692656
RF01003,mafft,RF01003_mafft.fasta,0.985507,0.014493,0.0,0.960074,0.0,1.0,0.970588,0.971014,69,1.0
RF01006,mafft,RF01006_mafft.fasta,0.975352,0.021127,0.003521,0.94021,0.0,0.993313,0.953571,0.955399,71,1.0
RF01020,mafft,RF01020_mafft.fasta,0.981481,0.014815,0.003704,0.959187,0.0,1.0,0.966292,0.962963,90,1.0
RF01064,mafft,RF01064_mafft.fasta,0.891156,0.095238,0.013605,0.73853,1.0,0.986411,0.859107,0.792517,98,1.0
RF01067,mafft,RF01067_mafft.fasta,0.723932,0.153846,0.122222,0.301605,0.614624,0.947399,0.763215,0.630436,104,0.9311838887126076
RF01084,mafft,RF01084_mafft.fasta,0.507602,0.191228,0.30117,0.40202,0.924029,0.828064,0.707231,0.381287,190,0.6347905282331512
RF01087,mafft,RF01087_mafft.fasta,0.921569,0.055556,0.022876,0.826206,0.0,0.964488,0.898026,0.877996,153,0.9807001795332136
RF01104,mafft,RF01104_mafft.fasta,0.954023,0.045977,0.0,0.873339,0.0,1.0,0.904762,0.908046,29,1.0
RF01106,mafft,RF01106_mafft.fasta,0.96,0.04,0.0,0.92,0.0,0.958333,0.958333,0.92,25,1.0
RF01123,mafft,RF01123_mafft.fasta,0.918129,0.076023,0.005848,0.790564,0.0,1.0,0.880952,0.836257,57,1.0
RF01127,mafft,RF01127_mafft.fasta,0.892308,0.087179,0.020513,0.767573,1.0,0.972526,0.875,0.805128,65,1.0
RF01130,mafft,RF01130_mafft.fasta,0.824356,0.107728,0.067916,0.688557,1.0,0.945867,0.82381,0.745511,61,0.9790575916230366
RF01137,mafft,RF01137_mafft.fasta,0.742424,0.257576,0.0,0.484848,0.0,0.704719,0.769231,0.484848,66,0.8
RF01139,mafft,RF01139_mafft.fasta,0.639113,0.25,0.110887,0.273669,0.929558,0.755687,0.665984,0.516705,62,0.9189736664415936
RF01140,mafft,RF01140_mafft.fasta,0.704023,0.258621,0.037356,0.326284,1.0,0.714833,0.684211,0.586207,58,0.7959949937421777
RF01141,mafft,RF01141_mafft.fasta,0.782456,0.185965,0.031579,0.497483,1.0,0.973277,0.742857,0.65614,57,0.7888888888888889
RF01151,mafft,RF01151_mafft.fasta,0.845238,0.075,0.079762,0.684938,0.722788,0.964051,0.826877,0.780037,60,0.976344520824909
RF01159,mafft,RF01159_mafft.fasta,0.794872,0.117788,0.08734,0.529815,0.735395,0.933427,0.790584,0.721474,78,0.908176702980965
RF01163,mafft,RF01163_mafft.fasta,0.795732,0.152439,0.051829,0.54886,0.832004,0.887749,0.762346,0.666667,82,0.873015873015873
RF01164,mafft,RF01164_mafft.fasta,0.88664,0.076923,0.036437,0.700964,0.637825,0.980123,0.813333,0.824561,76,0.9355357142857142
RF01173,mafft,RF01173_mafft.fasta,0.855769,0.131731,0.0125,0.498474,1.0,0.983952,0.814021,0.7625,80,0.9960552268244576
RF01174,mafft,RF01174_mafft.fasta,0.769556,0.153277,0.077167,0.480804,0.631688,0.910153,0.722995,0.676533,86,0.9397044804575786
RF01176,mafft,RF01176_mafft.fasta,0.693421,0.172368,0.134211,0.411336,0.825413,0.900809,0.740691,0.568797,95,0.8500230733733272
RF01178,mafft,RF01178_mafft.fasta,0.656396,0.172736,0.170868,0.315361,0.686911,0.862166,0.687412,0.557049,102,0.891547619047619
RF01181,mafft,RF01181_mafft.fasta,0.813333,0.115556,0.071111,0.602957,0.523837,0.928962,0.770787,0.747619,90,0.9092391937550972
RF01197,mafft,RF01197_mafft.fasta,0.878641,0.070388,0.050971,0.774874,1.0,0.958298,0.875,0.794498,103,0.912280701754386
RF01204,mafft,RF01204_mafft.fasta,0.913725,0.062745,0.023529,0.828098,0.408248,0.980886,0.881188,0.867647,102,0.8961303462321792
RF01222,mafft,RF01222_mafft.fasta,0.95393,0.04065,0.00542,0.890058,0.0,0.992764,0.915301,0.913279,123,0.9917808219178084
RF01227,mafft,RF01227_mafft.fasta,0.711409,0.155321,0.133269,0.483308,0.865311,0.905889,0.720077,0.592522,149,0.8461538461538461
RF01232,mafft,RF01232_mafft.fasta,0.902128,0.082979,0.014894,0.722242,0.0,0.957593,0.858696,0.860047,47,0.995645863570392
RF01241,mafft,RF01241_mafft.fasta,0.80293,0.086813,0.110256,0.558528,0.885152,0.948633,0.797865,0.713309,195,0.9361613840211944
RF01244,mafft,RF01244_mafft.fasta,0.84467,0.097462,0.057868,0.690465,0.891914,0.961686,0.839796,0.751269,197,0.8876651982378855
RF01257,mafft,RF01257_mafft.fasta,0.777376,0.137913,0.084711,0.513762,0.800757,0.939528,0.793568,0.667798,242,0.897056377847996
RF01262,mafft,RF01262_mafft.fasta,0.889488,0.082884,0.027628,0.702569,0.955661,0.989044,0.855789,0.808625,212,0.9587482219061166
RF01277,mafft,RF01277_mafft.fasta,0.801811,0.140342,0.057847,0.395222,0.619361,0.954336,0.755612,0.714137,71,0.917323151125402
RF01280,mafft,RF01280_mafft.fasta,0.822981,0.122671,0.054348,0.52901,0.857011,0.960351,0.811617,0.729814,92,0.9021424435437174
RF01287,mafft,RF01287_mafft.fasta,0.747573,0.161812,0.090615,0.491522,0.752363,0.878822,0.70098,0.620712,103,0.7147102526002972
RF01292,mafft,RF01292_mafft.fasta,0.732143,0.162338,0.105519,0.462385,0.782174,0.938065,0.710942,0.641234,168,0.91123439667129
RF01306,mafft,RF01306_mafft.fasta,0.916667,0.058333,0.025,0.883333,1.0,0.913283,0.864407,0.833333,60,1.0
RF01327,mafft,RF01327_mafft.fasta,0.937931,0.062069,0.0,0.808568,0.0,1.0,0.878571,0.889655,29,1.0
